point,waveType,dacVoltage,pulse,rawSensor1,rawSensor2,sensor1,sensor2,voltage1,voltage2,gasType,ppm
53,0,3.3,255,85117,17370,85117,17370,10.63971,2.17137,NH3,37.94
54,0,3.3,255,85367,17422,85367,17422,10.67098,2.17775,NH3,38.08
55,0,3.3,255,85539,17457,85539,17457,10.69244,2.18213,NH3,38.17
56,0,3.3,255,85764,17503,85764,17503,10.72061,2.18788,NH3,38.3
57,0,3.3,255,85975,17546,85975,17546,10.74693,2.19325,NH3,38.42
58,0,3.3,255,86185,17588,86185,17588,10.77324,2.19862,NH3,38.53
59,0,3.3,255,86347,17622,86347,17622,10.79348,2.20275,NH3,38.62
60,0,3.3,255,86480,17649,86480,17649,10.81004,2.20613,NH3,38.7
61,0,3.3,255,86617,17676,86617,17676,10.82714,2.20962,NH3,38.77
62,0,3.3,255,86769,17708,86769,17708,10.84615,2.2135,NH3,38.86
63,0,3.3,255,86867,17728,86867,17728,10.8584,2.216,NH3,38.91
64,0,3.3,255,86930,17740,86930,17740,10.86634,2.21762,NH3,38.95
65,0,3.3,255,87107,17777,87107,17777,10.88844,2.22213,NH3,39.05
66,0,3.3,255,87195,17795,87195,17795,10.89946,2.22438,NH3,39.1
67,0,3.3,255,87220,17800,87220,17800,10.9025,2.225,NH3,39.11
68,0,3.3,255,87342,17824,87342,17824,10.91779,2.22812,NH3,39.18
69,0,3.3,255,87406,17838,87406,17838,10.92578,2.22975,NH3,39.22
70,0,3.3,255,87425,17842,87425,17842,10.92822,2.23025,NH3,39.23
71,0,3.3,255,87523,17862,87523,17862,10.94047,2.23275,NH3,39.28
72,0,3.3,255,87563,17870,87563,17870,10.94538,2.23375,NH3,39.3
73,0,3.3,255,87548,17867,87548,17867,10.94356,2.23338,NH3,39.29
74,0,3.3,255,87607,17879,87607,17879,10.95091,2.23488,NH3,39.33
75,0,3.3,255,87690,17896,87690,17896,10.9613,2.237,NH3,39.37
76,0,3.3,255,87734,17905,87734,17905,10.96684,2.23813,NH3,39.4
77,0,3.3,255,87734,17905,87734,17905,10.96684,2.23813,NH3,39.4
78,0,3.3,255,87788,17916,87788,17916,10.97355,2.2395,NH3,39.43
79,0,3.3,255,87788,17916,87788,17916,10.97355,2.2395,NH3,39.43
80,0,3.3,255,87734,17905,87734,17905,10.96684,2.23813,NH3,39.4
81,0,3.3,255,87744,17907,87744,17907,10.96806,2.23838,NH3,39.4
82,0,3.3,255,87822,17922,87822,17922,10.97781,2.24037,NH3,39.45
83,0,3.3,255,87808,17920,87808,17920,10.976,2.24,NH3,39.44
84,0,3.3,255,87744,17907,87744,17907,10.96806,2.23838,NH3,39.4
85,0,3.3,255,87724,17902,87724,17902,10.96556,2.23787,NH3,39.39
86,0,3.3,255,87729,17904,87729,17904,10.9662,2.238,NH3,39.4
87,0,3.3,255,87753,17908,87753,17908,10.96924,2.23862,NH3,39.41
88,0,3.3,255,87739,17906,87739,17906,10.96743,2.23825,NH3,39.4
89,0,3.3,255,87705,17899,87705,17899,10.96316,2.23738,NH3,39.38
90,0,3.3,255,87655,17888,87655,17888,10.95699,2.23612,NH3,39.35
91,0,3.3,255,87675,17893,87675,17893,10.95949,2.23663,NH3,39.37
92,0,3.3,255,87670,17892,87670,17892,10.95885,2.2365,NH3,39.36
93,0,3.3,255,87675,17893,87675,17893,10.95949,2.23663,NH3,39.37
94,0,3.3,255,87680,17894,87680,17894,10.96007,2.23675,NH3,39.37
95,0,3.3,255,87670,17892,87670,17892,10.95885,2.2365,NH3,39.36
96,0,3.3,255,87646,17887,87646,17887,10.95581,2.23588,NH3,39.35
97,0,3.3,255,87592,17876,87592,17876,10.94905,2.2345,NH3,39.32
98,0,3.3,255,87572,17872,87572,17872,10.9466,2.234,NH3,39.31
99,0,3.3,255,87563,17870,87563,17870,10.94538,2.23375,NH3,39.3
100,0,3.3,255,87523,17862,87523,17862,10.94047,2.23275,NH3,39.28
101,0,3.3,255,87484,17854,87484,17854,10.93558,2.23175,NH3,39.26
102,0,3.3,255,87425,17842,87425,17842,10.92822,2.23025,NH3,39.23
103,0,3.3,255,87469,17850,87469,17850,10.93371,2.23137,NH3,39.25
104,0,3.3,255,87362,17829,87362,17829,10.92029,2.22863,NH3,39.19
105,0,3.3,255,87396,17836,87396,17836,10.92455,2.2295,NH3,39.21
106,0,3.3,255,87288,17814,87288,17814,10.91108,2.22675,NH3,39.15
107,0,3.3,255,87347,17826,87347,17826,10.91843,2.22825,NH3,39.18
108,0,3.3,255,87254,17806,87254,17806,10.90676,2.22587,NH3,39.13
109,0,3.3,255,87273,17810,87273,17810,10.90921,2.22637,NH3,39.14
110,0,3.3,255,87269,17810,87269,17810,10.90863,2.22625,NH3,39.14
111,0,3.3,255,87190,17794,87190,17794,10.89883,2.22425,NH3,39.09
112,0,3.3,255,87166,17789,87166,17789,10.89579,2.22363,NH3,39.08
113,0,3.3,255,87200,17796,87200,17796,10.90005,2.2245,NH3,39.1
114,0,3.3,255,87156,17786,87156,17786,10.89451,2.22337,NH3,39.08
115,0,3.3,255,87141,17784,87141,17784,10.8927,2.223,NH3,39.07
116,0,3.3,255,87033,17762,87033,17762,10.87923,2.22025,NH3,39.01
117,0,3.3,255,87073,17770,87073,17770,10.88413,2.22125,NH3,39.03
118,0,3.3,255,87053,17766,87053,17766,10.88167,2.22075,NH3,39.02
119,0,3.3,255,87004,17756,87004,17756,10.87555,2.2195,NH3,38.99
120,0,3.3,255,86911,17736,86911,17736,10.86389,2.21712,NH3,38.94
121,0,3.3,255,86891,17733,86891,17733,10.86149,2.21663,NH3,38.93
122,0,3.3,255,86877,17730,86877,17730,10.85963,2.21625,NH3,38.92
123,0,3.3,255,86896,17734,86896,17734,10.86208,2.21675,NH3,38.93
124,0,3.3,255,86877,17730,86877,17730,10.85963,2.21625,NH3,38.92
125,0,0.0,0,101920,20800,101920,20800,12.74,2.6,NH3,47.33
126,0,0.0,0,99724,20352,99724,20352,12.4656,2.544,NH3,46.1
127,0,0.0,0,96902,19776,96902,19776,12.1128,2.472,NH3,44.52
128,0,0.0,0,94173,19219,94173,19219,11.77166,2.40238,NH3,43.0
129,0,0.0,0,91522,18678,91522,18678,11.44028,2.33475,NH3,41.52
130,0,0.0,0,88974,18158,88974,18158,11.12178,2.26975,NH3,40.09
131,0,0.0,0,86524,17658,86524,17658,10.81553,2.20725,NH3,38.72
132,0,0.0,0,84157,17175,84157,17175,10.51971,2.14688,NH3,37.4
133,0,0.0,0,81854,16704,81854,16704,10.23179,2.08812,NH3,36.11
134,0,0.0,0,79669,16259,79669,16259,9.95866,2.03238,NH3,34.89
135,0,0.0,0,77552,15826,77552,15826,9.69401,1.97837,NH3,33.71
136,0,0.0,0,75518,15412,75518,15412,9.43985,1.9265,NH3,32.57
137,0,0.0,0,73593,15019,73593,15019,9.19916,1.87738,NH3,31.49
138,0,0.0,0,71687,14630,71687,14630,8.96088,1.82875,NH3,30.43
139,0,0.0,0,69893,14264,69893,14264,8.7367,1.783,NH3,29.43
140,0,0.0,0,68159,13910,68159,13910,8.51988,1.73875,NH3,28.46
141,0,0.0,0,66488,13569,66488,13569,8.31104,1.69613,NH3,27.52
142,0,0.0,0,64895,13244,64895,13244,8.11195,1.6555,NH3,26.63
143,0,0.0,0,63357,12930,63357,12930,7.91963,1.61625,NH3,25.77
144,0,0.0,0,61881,12628,61881,12628,7.73524,1.57862,NH3,24.95
145,0,0.0,0,60466,12340,60466,12340,7.55825,1.5425,NH3,24.16
146,0,0.0,0,59098,12060,59098,12060,7.38734,1.50762,NH3,23.39
147,0,0.0,0,57795,11794,57795,11794,7.22441,1.47437,NH3,22.67
148,0,0.0,0,56555,11542,56555,11542,7.06948,1.44275,NH3,21.97
149,0,0.0,0,55360,11298,55360,11298,6.92003,1.41225,NH3,21.3
150,0,0.0,0,54184,11058,54184,11058,6.77303,1.38225,NH3,20.65
151,0,0.0,0,53086,10834,53086,10834,6.63583,1.35425,NH3,20.03
152,0,0.0,0,52013,10615,52013,10615,6.50171,1.32688,NH3,19.43
153,0,0.0,0,50989,10406,50989,10406,6.37368,1.30075,NH3,18.86
154,0,0.0,0,50014,10207,50014,10207,6.25181,1.27588,NH3,18.32
155,0,0.0,0,49073,10015,49073,10015,6.13421,1.25188,NH3,17.79
156,0,0.0,0,48167,9830,48167,9830,6.02088,1.22875,NH3,17.28
157,0,0.0,0,47289,9650,47289,9650,5.91121,1.20637,NH3,16.79
158,0,0.0,0,46437,9477,46437,9477,5.80469,1.18463,NH3,16.32
159,0,0.0,0,45668,9320,45668,9320,5.7085,1.165,NH3,15.89
160,0,0.0,0,44859,9154,44859,9154,5.60741,1.14437,NH3,15.43
161,0,0.0,0,44090,8998,44090,8998,5.51128,1.12475,NH3,15.01
162,0,0.0,0,43379,8852,43379,8852,5.42244,1.10662,NH3,14.61
163,0,0.0,0,42703,8714,42703,8714,5.33791,1.08937,NH3,14.23
164,0,0.0,0,42027,8576,42027,8576,5.25339,1.07212,NH3,13.85
165,0,0.0,0,41375,8444,41375,8444,5.17195,1.0555,NH3,13.49
166,0,0.0,0,40743,8314,40743,8314,5.09291,1.03937,NH3,13.13
167,0,0.0,0,40150,8194,40150,8194,5.01883,1.02425,NH3,12.8
168,0,0.0,0,39587,8079,39587,8079,4.94841,1.00988,NH3,12.49
169,0,0.0,0,39013,7962,39013,7962,4.87673,0.99525,NH3,12.17
170,0,0.0,0,38489,7855,38489,7855,4.81121,0.98188,NH3,11.87
171,0,0.0,0,37945,7744,37945,7744,4.7432,0.968,NH3,11.57
172,0,0.0,0,37465,7646,37465,7646,4.68318,0.95575,NH3,11.3
173,0,0.0,0,36955,7542,36955,7542,4.61948,0.94275,NH3,11.02
174,0,0.0,0,36480,7445,36480,7445,4.56009,0.93063,NH3,10.75
175,0,0.0,0,36015,7350,36015,7350,4.50188,0.91875,NH3,10.49
176,0,0.0,0,35598,7265,35598,7265,4.44984,0.90813,NH3,10.26
177,0,0.0,0,35162,7176,35162,7176,4.3953,0.897,NH3,10.02
178,0,0.0,0,34755,7092,34755,7092,4.34444,0.88662,NH3,9.79
179,0,0.0,0,34339,7008,34339,7008,4.2924,0.876,NH3,9.56
180,0,0.0,0,33966,6932,33966,6932,4.24585,0.8665,NH3,9.35
181,0,0.0,0,33599,6857,33599,6857,4.19994,0.85713,NH3,9.14
182,0,0.0,0,33256,6786,33256,6786,4.15701,0.84837,NH3,8.95
183,0,0.0,0,32893,6713,32893,6713,4.11174,0.83913,NH3,8.75
184,0,0.0,0,32550,6642,32550,6642,4.06881,0.83037,NH3,8.56
185,0,0.0,0,32271,6586,32271,6586,4.03393,0.82325,NH3,8.4
186,0,0.0,0,31908,6512,31908,6512,3.9886,0.814,NH3,8.2
187,0,0.0,0,31610,6451,31610,6451,3.95126,0.80638,NH3,8.03
188,0,0.0,0,31296,6387,31296,6387,3.91206,0.79838,NH3,7.85
189,0,0.0,0,31007,6328,31007,6328,3.8759,0.791,NH3,7.69
190,0,0.0,0,30747,6275,30747,6275,3.84346,0.78438,NH3,7.55
191,0,0.0,0,30463,6217,30463,6217,3.80794,0.77713,NH3,7.39
192,0,0.0,0,30208,6165,30208,6165,3.77609,0.77063,NH3,7.25
193,0,0.0,0,29978,6118,29978,6118,3.74728,0.76475,NH3,7.12
194,0,0.0,0,29703,6062,29703,6062,3.71298,0.75775,NH3,6.96
195,0,0.0,0,29444,6009,29444,6009,3.68054,0.75113,NH3,6.82
196,0,0.0,0,29248,5969,29248,5969,3.65604,0.74613,NH3,6.71
197,0,0.0,0,29008,5920,29008,5920,3.626,0.74,NH3,6.58
198,0,0.0,0,28787,5875,28787,5875,3.59846,0.73438,NH3,6.45
199,0,0.0,0,28596,5836,28596,5836,3.57455,0.7295,NH3,6.35
200,0,0.0,0,28415,5799,28415,5799,3.55191,0.72488,NH3,6.24
201,0,0.0,0,28209,5757,28209,5757,3.52619,0.71963,NH3,6.13
202,0,0.0,0,28037,5722,28037,5722,3.50473,0.71525,NH3,6.03
203,0,0.0,0,27812,5676,27812,5676,3.47655,0.7095,NH3,5.91
204,0,0.0,0,27660,5645,27660,5645,3.45759,0.70563,NH3,5.82
205,0,0.0,0,27479,5608,27479,5608,3.4349,0.701,NH3,5.72
206,0,0.0,0,27312,5574,27312,5574,3.41407,0.69675,NH3,5.63
207,0,0.0,0,27140,5538,27140,5538,3.39261,0.69237,NH3,5.53
208,0,0.0,0,26974,5504,26974,5504,3.37179,0.68812,NH3,5.44
209,0,0.0,0,26847,5479,26847,5479,3.35591,0.68488,NH3,5.37
210,0,0.0,0,26680,5445,26680,5445,3.33509,0.68063,NH3,5.27
211,0,0.0,0,26523,5413,26523,5413,3.31549,0.67663,NH3,5.19
212,0,0.0,0,26391,5386,26391,5386,3.29893,0.67325,NH3,5.11
213,0,0.0,0,26254,5358,26254,5358,3.28178,0.66975,NH3,5.04
214,0,0.0,0,26117,5330,26117,5330,3.26463,0.66625,NH3,4.96
215,0,0.0,0,26009,5308,26009,5308,3.25115,0.6635,NH3,4.9
216,0,0.0,0,25862,5278,25862,5278,3.23278,0.65975,NH3,4.82
217,0,0.0,0,25749,5254,25749,5254,3.21866,0.65687,NH3,4.75
218,0,0.0,0,25622,5229,25622,5229,3.20279,0.65363,NH3,4.68
219,0,0.0,0,25528,5210,25528,5210,3.19112,0.65125,NH3,4.63
220,0,0.0,0,25421,5188,25421,5188,3.17765,0.6485,NH3,4.57
221,0,0.0,0,25298,5163,25298,5163,3.16236,0.64538,NH3,4.5
222,0,0.0,0,25195,5142,25195,5142,3.14948,0.64275,NH3,4.44
223,0,0.0,0,25102,5123,25102,5123,3.13786,0.64038,NH3,4.39
224,0,0.0,0,24999,5102,24999,5102,3.12498,0.63775,NH3,4.34
225,0,0.0,0,24911,5084,24911,5084,3.11395,0.6355,NH3,4.29
226,0,0.0,0,24837,5068,24837,5068,3.10474,0.63362,NH3,4.24
227,0,0.0,0,24754,5052,24754,5052,3.09435,0.6315,NH3,4.2
228,0,0.0,0,24627,5026,24627,5026,3.07843,0.62825,NH3,4.13
229,0,0.0,0,24578,5016,24578,5016,3.0723,0.627,NH3,4.1
230,0,0.0,0,24485,4996,24485,4996,3.06064,0.62462,NH3,4.05
231,0,0.0,0,24406,4980,24406,4980,3.05084,0.62262,NH3,4.0
232,0,0.0,0,24313,4962,24313,4962,3.03923,0.62025,NH3,3.95
233,0,0.0,0,24240,4947,24240,4947,3.03006,0.61838,NH3,3.91
234,0,0.0,0,24176,4934,24176,4934,3.02208,0.61675,NH3,3.88
235,0,0.0,0,24083,4915,24083,4915,3.01046,0.61438,NH3,3.82
236,0,0.0,0,24049,4908,24049,4908,3.00615,0.6135,NH3,3.8
237,0,0.0,0,23970,4892,23970,4892,2.99635,0.6115,NH3,3.76
238,0,0.0,0,23897,4876,23897,4876,2.98714,0.60962,NH3,3.72
239,0,0.0,0,23833,4864,23833,4864,2.9792,0.608,NH3,3.68
240,0,0.0,0,23779,4852,23779,4852,2.97244,0.60662,NH3,3.65
241,0,0.0,0,23730,4842,23730,4842,2.96631,0.60537,NH3,3.63
242,0,0.0,0,23672,4831,23672,4831,2.95901,0.60388,NH3,3.59
243,0,0.0,0,23612,4818,23612,4818,2.95161,0.60237,NH3,3.56
244,0,0.0,0,23578,4812,23578,4812,2.94735,0.6015,NH3,3.54
245,0,0.0,0,23505,4796,23505,4796,2.93814,0.59962,NH3,3.5
246,0,0.0,0,23456,4786,23456,4786,2.93201,0.59837,NH3,3.47
247,0,0.0,0,23407,4777,23407,4777,2.92594,0.59713,NH3,3.45
248,0,0.0,0,23363,4768,23363,4768,2.9204,0.596,NH3,3.42
249,0,0.0,0,23309,4756,23309,4756,2.91364,0.59462,NH3,3.39
0,0,3.3,255,19962,4074,19962,4074,2.49533,0.50925,NH3,1.52
1,0,3.3,255,21344,4356,21344,4356,2.66805,0.5445,NH3,2.29
2,0,3.3,255,23451,4786,23451,4786,2.93142,0.59825,NH3,3.47
3,0,3.3,255,25670,5238,25670,5238,3.20886,0.65487,NH3,4.71
4,0,3.3,255,27885,5690,27885,5690,3.48571,0.71137,NH3,5.95
5,0,3.3,255,30120,6147,30120,6147,3.76506,0.76838,NH3,7.2
6,0,3.3,255,32344,6600,32344,6600,4.04309,0.82512,NH3,8.44
7,0,3.3,255,34564,7054,34564,7054,4.32058,0.88175,NH3,9.68
8,0,3.3,255,36779,7506,36779,7506,4.59743,0.93825,NH3,10.92
9,0,3.3,255,38955,7950,38955,7950,4.86938,0.99375,NH3,12.13
10,0,3.3,255,41086,8384,41086,8384,5.13579,1.04812,NH3,13.33
11,0,3.3,255,43198,8816,43198,8816,5.3998,1.102,NH3,14.51
12,0,3.3,255,45261,9237,45261,9237,5.65769,1.15463,NH3,15.66
13,0,3.3,255,47299,9653,47299,9653,5.91249,1.20663,NH3,16.8
14,0,3.3,255,49294,10060,49294,10060,6.16175,1.2575,NH3,17.91
15,0,3.3,255,51165,10442,51165,10442,6.39573,1.30525,NH3,18.96
16,0,3.3,255,53018,10820,53018,10820,6.62725,1.3525,NH3,20.0
17,0,3.3,255,54796,11182,54796,11182,6.84956,1.39787,NH3,20.99
18,0,3.3,255,56511,11532,56511,11532,7.06394,1.44162,NH3,21.95
19,0,3.3,255,58168,11871,58168,11871,7.27101,1.48388,NH3,22.87
20,0,3.3,255,59731,12190,59731,12190,7.46638,1.52375,NH3,23.75
21,0,3.3,255,61259,12502,61259,12502,7.65748,1.56275,NH3,24.6
22,0,3.3,255,62749,12806,62749,12806,7.84368,1.60075,NH3,25.43
23,0,3.3,255,64121,13086,64121,13086,8.01518,1.63575,NH3,26.2
24,0,3.3,255,65473,13362,65473,13362,8.18423,1.67025,NH3,26.96
25,0,3.3,255,66801,13632,66801,13632,8.35019,1.70412,NH3,27.7
26,0,3.3,255,68026,13882,68026,13882,8.50331,1.73537,NH3,28.38
27,0,3.3,255,69153,14112,69153,14112,8.64419,1.76412,NH3,29.01
28,0,3.3,255,70270,14340,70270,14340,8.78384,1.79262,NH3,29.64
29,0,3.3,255,71363,14564,71363,14564,8.92045,1.8205,NH3,30.25
30,0,3.3,255,72333,14762,72333,14762,9.04173,1.84525,NH3,30.79
31,0,3.3,255,73347,14968,73347,14968,9.16849,1.87112,NH3,31.36
32,0,3.3,255,74229,15148,74229,15148,9.27874,1.89362,NH3,31.85
33,0,3.3,255,75146,15336,75146,15336,9.3933,1.917,NH3,32.36
34,0,3.3,255,75925,15494,75925,15494,9.49066,1.93687,NH3,32.8
35,0,3.3,255,76792,15672,76792,15672,9.5991,1.959,NH3,33.28
36,0,3.3,255,77532,15823,77532,15823,9.69161,1.97788,NH3,33.7
37,0,3.3,255,78184,15956,78184,15956,9.77305,1.9945,NH3,34.06
38,0,3.3,255,78914,16105,78914,16105,9.86434,2.01313,NH3,34.47
39,0,3.3,255,79483,16221,79483,16221,9.93539,2.02763,NH3,34.79
40,0,3.3,255,80100,16347,80100,16347,10.01256,2.04338,NH3,35.13
41,0,3.3,255,80565,16442,80565,16442,10.07073,2.05525,NH3,35.39
42,0,3.3,255,81134,16558,81134,16558,10.14178,2.06975,NH3,35.71
43,0,3.3,255,81639,16661,81639,16661,10.20489,2.08263,NH3,35.99
44,0,3.3,255,82114,16758,82114,16758,10.26427,2.09475,NH3,36.26
45,0,3.3,255,82535,16844,82535,16844,10.31695,2.1055,NH3,36.49
46,0,3.3,255,83001,16939,83001,16939,10.37516,2.11738,NH3,36.75
47,0,3.3,255,83403,17021,83403,17021,10.42539,2.12763,NH3,36.98
48,0,3.3,255,83799,17102,83799,17102,10.47498,2.13775,NH3,37.2
49,0,3.3,255,84030,17149,84030,17149,10.50379,2.14363,NH3,37.33
50,0,3.3,255,84383,17221,84383,17221,10.54789,2.15263,NH3,37.53
51,0,3.3,255,84632,17272,84632,17272,10.5791,2.159,NH3,37.66
52,0,3.3,255,85015,17350,85015,17350,10.62688,2.16875,NH3,37.88
53,0,3.3,255,85274,17402,85274,17402,10.65931,2.17537,NH3,38.02
54,0,3.3,255,85558,17460,85558,17460,10.69484,2.18262,NH3,38.18
55,0,3.3,255,85848,17520,85848,17520,10.731,2.19,NH3,38.34
56,0,3.3,255,85897,17530,85897,17530,10.73713,2.19125,NH3,38.37
57,0,3.3,255,86098,17571,86098,17571,10.76226,2.19638,NH3,38.48
58,0,3.3,255,86284,17609,86284,17609,10.78554,2.20113,NH3,38.59
59,0,3.3,255,86514,17656,86514,17656,10.8143,2.207,NH3,38.72
60,0,3.3,255,86597,17672,86597,17672,10.82469,2.20912,NH3,38.76
61,0,3.3,255,86695,17693,86695,17693,10.83699,2.21163,NH3,38.82
62,0,3.3,255,86867,17728,86867,17728,10.8584,2.216,NH3,38.91
63,0,3.3,255,86989,17753,86989,17753,10.87374,2.21913,NH3,38.98
64,0,3.3,255,87082,17772,87082,17772,10.88535,2.2215,NH3,39.03
65,0,3.3,255,87210,17798,87210,17798,10.90128,2.22475,NH3,39.11
66,0,3.3,255,87259,17808,87259,17808,10.9074,2.226,NH3,39.13
67,0,3.3,255,87406,17838,87406,17838,10.92578,2.22975,NH3,39.22
68,0,3.3,255,87416,17840,87416,17840,10.927,2.23,NH3,39.22
69,0,3.3,255,87494,17856,87494,17856,10.9368,2.232,NH3,39.26
70,0,3.3,255,87646,17887,87646,17887,10.95581,2.23588,NH3,39.35
71,0,3.3,255,87602,17878,87602,17878,10.95028,2.23475,NH3,39.32
72,0,3.3,255,87714,17900,87714,17900,10.96434,2.23762,NH3,39.39
73,0,3.3,255,87700,17898,87700,17898,10.96253,2.23725,NH3,39.38
74,0,3.3,255,87739,17906,87739,17906,10.96743,2.23825,NH3,39.4
75,0,3.3,255,87856,17930,87856,17930,10.98212,2.24125,NH3,39.47
76,0,3.3,255,87822,17922,87822,17922,10.97781,2.24037,NH3,39.45
77,0,3.3,255,87906,17940,87906,17940,10.98825,2.2425,NH3,39.49
78,0,3.3,255,87925,17944,87925,17944,10.9907,2.243,NH3,39.51
79,0,3.3,255,87817,17922,87817,17922,10.97723,2.24025,NH3,39.45
80,0,3.3,255,87822,17922,87822,17922,10.97781,2.24037,NH3,39.45
81,0,3.3,255,87827,17924,87827,17924,10.97845,2.2405,NH3,39.45
82,0,3.3,255,87862,17931,87862,17931,10.98276,2.24138,NH3,39.47
83,0,3.3,255,87896,17938,87896,17938,10.98703,2.24225,NH3,39.49
84,0,3.3,255,87866,17932,87866,17932,10.98335,2.2415,NH3,39.47
85,0,3.3,255,87783,17914,87783,17914,10.97291,2.23937,NH3,39.43
86,0,3.3,255,87778,17914,87778,17914,10.97233,2.23925,NH3,39.42
87,0,3.3,255,87940,17946,87940,17946,10.99251,2.24337,NH3,39.51
88,0,3.3,255,87969,17952,87969,17952,10.99619,2.24412,NH3,39.53
89,0,3.3,255,87793,17917,87793,17917,10.97419,2.23963,NH3,39.43
90,0,3.3,255,87764,17911,87764,17911,10.97051,2.23888,NH3,39.42
91,0,3.3,255,87739,17906,87739,17906,10.96743,2.23825,NH3,39.4
92,0,3.3,255,87661,17890,87661,17890,10.95763,2.23625,NH3,39.36
93,0,3.3,255,87646,17887,87646,17887,10.95581,2.23588,NH3,39.35
94,0,3.3,255,87646,17887,87646,17887,10.95581,2.23588,NH3,39.35
95,0,3.3,255,87665,17890,87665,17890,10.95821,2.23637,NH3,39.36
96,0,3.3,255,87612,17880,87612,17880,10.9515,2.235,NH3,39.33
97,0,3.3,255,87621,17882,87621,17882,10.95273,2.23525,NH3,39.34
